clym,ecast_vrbl_nm,bz_dnm,scno_dvvl,ecast_ky,seq,sysdate,inpp_cd,ecast_data
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,1,2026-08-22 15:51:44,AUTO,0.031899
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,2,2026-08-22 15:51:44,AUTO,0.032365
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,3,2026-08-22 15:51:44,AUTO,0.033287
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,4,2026-08-22 15:51:44,AUTO,0.034644
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,5,2026-08-22 15:51:44,AUTO,0.036351
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,6,2026-08-22 15:51:44,AUTO,0.038389
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,7,2026-08-22 15:51:44,AUTO,0.040499
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,8,2026-08-22 15:51:44,AUTO,0.04163
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,9,2026-08-22 15:51:44,AUTO,0.041518
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,10,2026-08-22 15:51:44,AUTO,0.040497
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,11,2026-08-22 15:51:44,AUTO,0.039898
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,12,2026-08-22 15:51:44,AUTO,0.040055
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,13,2026-08-22 15:51:44,AUTO,0.040836
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,14,2026-08-22 15:51:44,AUTO,0.041727
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,15,2026-08-22 15:51:44,AUTO,0.042599
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,16,2026-08-22 15:51:44,AUTO,0.043453
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,17,2026-08-22 15:51:44,AUTO,0.044287
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,18,2026-08-22 15:51:44,AUTO,0.045104
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,19,2026-08-22 15:51:44,AUTO,0.045837
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,20,2026-08-22 15:51:44,AUTO,0.04623
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,21,2026-08-22 15:51:44,AUTO,0.046216
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,22,2026-08-22 15:51:44,AUTO,0.045795
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,23,2026-08-22 15:51:44,AUTO,0.044967
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,24,2026-08-22 15:51:44,AUTO,0.043734
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,25,2026-08-22 15:51:44,AUTO,0.042245
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,26,2026-08-22 15:51:44,AUTO,0.041093
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,27,2026-08-22 15:51:44,AUTO,0.040426
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,28,2026-08-22 15:51:44,AUTO,0.040243
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,29,2026-08-22 15:51:44,AUTO,0.040543
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,30,2026-08-22 15:51:44,AUTO,0.041326
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,31,2026-08-22 15:51:44,AUTO,0.042483
202606,CREDR_BU_D_DISCR,IFRS17_RR_2606,1,0,32,2026-08-22 15:51:44,AUTO,0.043576
